id;totalReg;anomalies;notAanomalie;meanValueAll;meanValue;stdValue;mediaValue;totalTime;dateDir;percentAnomaly;imptEngLoad;imptEngRPM;imptGndSpd;imptBaseCutPrs;imptBaseCutHght;imptChopperHydPrs;imptChopperRPM;imptAboveEngLoad;imptAboveEngRPM;imptAboveGndSpd;imptAboveBaseCutPrs;imptAboveBaseCutHght;imptAboveChopperHydPrs;imptAboveChopperRPM;anomalyAcumulate;totalAcumulate
60;79174;17379;61795;0,05640810989983479;0,10327348689324807;0,11680342408167897;0,08436795363940222;53470;2024-08-13;22,0;64963,02782332352;61655,583767669574;54485,26072886743;45981,77451005246;76798,97568603014;53985,31543389007;79803,51998470644;21605,272921112148;30519,235879944245;20085,9830481845;14441,36884108079;31101,793993031304;20072,688504174883;38063,06982681308;440412;4277228
61;77445;9318;68127;0,049909079134469556;0,12618730681837625;0,24444314221077174;0,0843400319416244;50572;2024-08-14;12,0;65592,35802925893;62486,959599412054;48008,03972803672;46392,11932256731;54398,929715293394;47821,36217694543;54090,67751825156;17181,808166088722;28615,46027870506;12698,289483029976;11551,728202419732;15835,89982993598;13711,509429078247;15635,010454238125;449730;4354673
62;48308;11858;36450;0,09575700524824146;0,2527128739300345;0,8334992298765814;0,0897698895250491;51759;2024-08-15;24,5;42732,147936433525;41870,90708844542;38774,93130457948;32669,09604149026;57438,6901730546;42022,04196953729;197645,16807682795;19225,106540035023;22100,62700583438;18170,68007153593;14750,270862137359;26141,873536049643;20413,268784353295;172871,76058816453;461588;4402981
63;1606;1596;10;0,43600742810379;0,43786024773540977;1,3120587681635112;0,18292847023783199;3480;2024-08-16;99,4;2936,546788537283;4451,262616543447;3375,8043913772526;3550,225437853454;5214,130195641227;3137,004212427667;45871,90599611063;2930,301942557118;4447,167255230077;3369,48991520566;3545,6766062478246;5198,904060190823;3131,3350231422464;45861,97082522625;463184;4404587
64;2105;1316;789;0,10655686167753688;0,13991091617766896;0,04119349964235758;0,1514046544282281;7927;2024-08-28;62,5;2073,421320482515;1552,0518379161451;3960,6640519348475;2037,3525514772755;8032,737989030355;2073,0313955683955;2252,3558490495025;1485,3275449917844;1070,180603187832;3304,5766608853187;1428,5823341670234;7356,221890198672;1617,5538785366587;1781,588125634291;464500;4406692
65;16022;6158;9864;0,08362978485556338;0,135807687653136;0,4912590642530655;0,08422180220656192;15344;2024-08-29;38,4;12162,141850289185;23947,151939920066;14751,04432470518;11288,368854688759;31330,740751398025;14211,127327876275;23596,64626404697;5929,731565510161;18338,213830952292;7801,159827296347;5914,025343183679;18843,91886076549;7798,906280910228;17331,81086704688;470658;4422714
66;30;30;0;0,554839722089874;0,554839722089874;0,2841581461583642;0,4607208016368074;1192;2024-09-03;100,0;111,71482434100952;339,5003726939506;255,63638058741358;45,822865799062676;698,1360968087997;98,25014872424354;82,1680939897502;111,71482434100949;339,5003726939506;255,63638058741356;45,822865799062676;698,1360968087996;98,25014872424353;82,1680939897502;470688;4422744
67;11052;6486;4566;0,23153603438306788;0,35519097684029277;0,984086082869032;0,09151521858405115;21428;2024-09-04;58,7;14421,62795256458;144969,47941509978;23528,271163109985;10271,862823644055;27132,50242959787;12305,137041744987;18146,871870401978;11412,067035374657;142493,51438756703;19444,545637778214;7555,908579227481;20074,49129337274;9601,641369186487;15187,161924534812;477174;4433796
68;19842;7612;12230;0,08957724483859525;0,15325344637485902;0,25692870525035766;0,09640003684926846;26171;2024-09-05;38,4;21513,69999103014;34112,39090804873;32441,05284148312;13328,612279133758;32638,184859163674;16014,347566804521;24136,097378902712;14045,87964177362;26801,5638096548;22383,673155502038;7133,356925877795;17789,57569437626;9439,076726034826;16730,26695971254;484786;4453638
69;58447;28627;29820;0,1264971840667578;0,2059511453421144;0,6844709223013093;0,0902890019777118;37630;2024-09-06;49,0;66798,24682483236;289118,51404373464;47935,51748583197;48544,92410458965;114795,95764885966;65865,36400112185;91468,01232363269;43882,85877819999;273076,3615446143;30810,38411530711;32613,575652759475;80531,49287660871;48568,383641050015;68301,7602869147;513413;4512085
